record_id	record_kind	model_id	semantic_owner	trust_boundary	surface_paths	changed_model_paths	change_set	review_disposition	rationale
security-runner-v1	model	TM-0001-m0-04-toml-parser	Security and Key Management	configuration-parser-before-typed-construction-v1	crates/positron-config/src/lib.rs|qualification/engineering/security/TM-0001-m0-04-toml-parser.json	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	owned versioned threat model
crypto-runner-v1	model	TM-0010-m0-10-runner-crypto	Security and Key Management	xtask-crypto-known-answer-provider-boundary-v1	tools/xtask/src/security_harness/crypto.rs|tools/xtask/src/crypto_targets.rs|tools/xtask/src/quality.rs|qualification/engineering/security-crypto-targets.tsv	tools/xtask/src/security_harness/crypto.rs|tools/xtask/src/crypto_targets.rs|tools/xtask/src/quality.rs|qualification/engineering/security-crypto-targets.tsv	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	owned versioned threat model
secret-canary-runner-v1	model	TM-0011-m0-10-runner-artifacts	Security and Key Management	xtask-candidate-artifact-disclosure-boundary-v1	tools/xtask/src/security_harness.rs|tools/xtask/src/security_harness/canary.rs|tools/xtask/src/security_harness/canary_budget.rs|qualification/engineering/security-canary-targets.tsv	tools/xtask/src/security_harness.rs|tools/xtask/src/security_harness/canary.rs|tools/xtask/src/security_harness/canary_budget.rs|qualification/engineering/security-canary-targets.tsv	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	owned versioned threat model
reviewed-001	reviewed-non-trust	-	Quality Engineering	-	qualification/engineering/README.md	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	engineering registry documentation only
reviewed-002	reviewed-non-trust	-	Quality Engineering	-	qualification/engineering/policy-changes/PC-0015-m0-10-security-crypto-runners.json	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	M0-10 policy evidence record
reviewed-003	reviewed-non-trust	-	Quality Engineering	-	qualification/engineering/scopes.tsv	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	xtask gate activation metadata
reviewed-004	reviewed-non-trust	-	Quality Engineering	-	qualification/engineering/security-runners.tsv	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	runner descriptor metadata outside a product trust boundary
reviewed-005	reviewed-non-trust	-	Security and Key Management	-	qualification/engineering/security-threat-surfaces.tsv	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	owned threat review registry record
reviewed-006	reviewed-non-trust	-	Security and Key Management	-	qualification/engineering/security/TM-0010-m0-10-runner-crypto.json	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	threat model record rather than executable boundary
reviewed-007	reviewed-non-trust	-	Security and Key Management	-	qualification/engineering/security/TM-0011-m0-10-runner-artifacts.json	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	threat model record rather than executable boundary
reviewed-008	reviewed-non-trust	-	Security and Key Management	-	qualification/fixtures/adversarial/cryptography/m0-10-secret-canary-leak.tsv	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	committed adversarial negative fixture
reviewed-009	reviewed-non-trust	-	Security and Key Management	-	qualification/fixtures/adversarial/cryptography/m0-10-security-canary-golden.tsv	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	committed redacted golden fixture
reviewed-010	reviewed-non-trust	-	Quality Engineering	-	tools/xtask/src/bounded_input.rs	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	quality harness bounded file input utility
reviewed-011	reviewed-non-trust	-	Quality Engineering	-	tools/xtask/src/main.rs	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	xtask command and module registration only
reviewed-012	reviewed-non-trust	-	Quality Engineering	-	tools/xtask/src/security_catalog.rs	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	runner descriptor parser outside product runtime
reviewed-013	reviewed-non-trust	-	Security and Key Management	-	tools/xtask/src/security_change_review.rs	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	complete changed-path classification verifier
reviewed-014	reviewed-non-trust	-	Quality Engineering	-	tools/xtask/src/security_harness/canary_tests.rs	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	test-only scanner regression module
reviewed-015	reviewed-non-trust	-	Security and Key Management	-	tools/xtask/src/security_threat_surface.rs	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	threat review parser outside product runtime
reviewed-016	reviewed-non-trust	-	Quality Engineering	-	tools/xtask/tests/foundational_scope_activation.rs	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	public quality fixture harness
reviewed-017	reviewed-non-trust	-	Quality Engineering	-	tools/xtask/tests/foundational_scope_activation/m0_10_final_blockers.rs	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	public final blocker regression tests
reviewed-018	reviewed-non-trust	-	Quality Engineering	-	tools/xtask/tests/foundational_scope_activation/m0_10_security_crypto.rs	-	m0-10-pr-166@542f3835dc67f819e566e017c04e165b15416861	reviewed-m0-10	public M0-10 security runner tests
